date,city_public,store_code,store_name_public,gmv,orders,qty,aov,items_per_order,active_sku,oneprice_share,pinghaofan_share
2026-01-03,City_01,S11,Store_11,990.9,63,74,15.72857142857143,1.1746031746031746,28,0.0,0.0950650923402967
2026-01-03,City_01,S12,Store_12,5477.3,360,447,15.214722222222225,1.2416666666666667,56,0.0,0.0974567761488324
2026-01-03,City_01,S13,Store_13,912.2,68,82,13.414705882352942,1.2058823529411764,34,0.0,0.1376891032668274
2026-01-03,City_02,S01,Store_01,809.43,51,55,15.871176470588232,1.0784313725490196,27,0.0,0.1082243059931062
2026-01-03,City_02,S02,Store_02,1977.6,108,120,18.311111111111117,1.1111111111111112,41,0.0,0.0
2026-01-03,City_02,S03,Store_03,2185.1,122,130,17.910655737704918,1.0655737704918034,42,0.0,0.0272756395588302
2026-01-03,City_02,S06,Store_06,3080.9,169,194,18.2301775147929,1.1479289940828403,48,0.0,0.0773799863676198
2026-01-03,City_02,S07,Store_07,2885.32,191,201,15.106387434554977,1.0523560209424083,40,0.0,0.0
2026-01-03,City_02,S10,Store_10,1370.4,93,95,14.735483870967744,1.021505376344086,34,0.0,0.0
2026-01-04,City_01,S04,Store_04,2164.3,143,156,15.134965034965036,1.0909090909090908,43,0.0,0.1895301021115371
2026-01-04,City_01,S05,Store_05,957.3,68,75,14.077941176470588,1.1029411764705883,32,0.0,0.0984017549357568
2026-01-04,City_01,S08,Store_08,1812.9,99,122,18.31212121212121,1.2323232323232325,44,0.0,0.0433007887914391
2026-01-04,City_01,S09,Store_09,2857.37,192,227,14.882135416666666,1.1822916666666667,45,0.0,0.0755589930600517
2026-01-04,City_01,S11,Store_11,1318.8,98,113,13.457142857142856,1.153061224489796,35,0.0,0.0952380952380952
2026-01-04,City_01,S12,Store_12,3864.6,244,308,15.838524590163937,1.2622950819672132,49,0.0,0.0934378719660508
2026-01-04,City_01,S13,Store_13,1090.0,71,81,15.352112676056338,1.1408450704225352,37,0.0,0.1440366972477064
2026-01-04,City_02,S01,Store_01,744.9,42,46,17.735714285714284,1.0952380952380951,26,0.0,0.1175996778091018
2026-01-04,City_02,S02,Store_02,1442.7,76,85,18.982894736842105,1.118421052631579,28,0.0,0.0103278574894295
2026-01-04,City_02,S03,Store_03,2096.5,132,145,15.882575757575758,1.0984848484848484,45,0.0,0.0497495826377295
2026-01-04,City_02,S06,Store_06,1503.6,90,105,16.706666666666667,1.1666666666666667,38,0.0,0.0099095504123437
2026-01-04,City_02,S07,Store_07,1984.86,129,137,15.386511627906978,1.062015503875969,34,0.0,0.0
2026-01-04,City_02,S10,Store_10,841.6800000000001,49,49,17.177142857142858,1.0,28,0.0,0.0
2026-01-05,City_01,S04,Store_04,2051.8,138,159,14.868115942028988,1.1521739130434785,40,0.0,0.1224290866556194
2026-01-05,City_01,S05,Store_05,1118.1,74,89,15.109459459459458,1.2027027027027026,37,0.0,0.0702083892317324
2026-01-05,City_01,S08,Store_08,2133.8,127,155,16.80157480314961,1.220472440944882,47,0.0,0.0515043584215952
2026-01-05,City_01,S09,Store_09,2587.2,168,239,15.4,1.4226190476190477,47,0.0,0.0895176252319109
2026-01-05,City_01,S11,Store_11,1313.9,106,125,12.395283018867923,1.179245283018868,38,0.0,0.0358474769769388
2026-01-05,City_01,S12,Store_12,3161.5,241,304,13.118257261410788,1.2614107883817427,51,0.0,0.0893879487585007
2026-01-05,City_01,S13,Store_13,1010.7,63,69,16.042857142857144,1.0952380952380951,34,0.0,0.1087365192440882
2026-01-05,City_02,S01,Store_01,1042.9,64,68,16.2953125,1.0625,36,0.0,0.0962700163006999
2026-01-05,City_02,S02,Store_02,1126.4,74,81,15.221621621621622,1.0945945945945943,35,0.0,0.0264559659090909
2026-01-05,City_02,S03,Store_03,1791.5,105,124,17.061904761904763,1.180952380952381,39,0.0,0.0332682109963717
2026-01-05,City_02,S06,Store_06,2321.0000000000005,139,158,16.69784172661871,1.1366906474820144,42,0.0,0.1091339939681171
2026-01-05,City_02,S07,Store_07,1912.62,120,123,15.9385,1.025,36,0.0,0.0
2026-01-05,City_02,S10,Store_10,817.24,55,55,14.85890909090909,1.0,25,0.0,0.0
2026-01-06,City_01,S04,Store_04,1799.7,112,121,16.06875,1.0803571428571428,40,0.0,0.1134077901872534
2026-01-06,City_01,S05,Store_05,1140.1,78,87,14.616666666666664,1.1153846153846154,33,0.0,0.1514779405315323
2026-01-06,City_01,S08,Store_08,2012.9,113,137,17.813274336283186,1.2123893805309736,46,0.0,0.0
2026-01-06,City_01,S09,Store_09,3098.03,218,281,14.211146788990826,1.288990825688073,48,0.0,0.0937692662756655
2026-01-06,City_01,S11,Store_11,1335.8,115,159,11.615652173913045,1.382608695652174,38,0.0,0.0705195388531217
2026-01-06,City_01,S12,Store_12,3767.6,255,306,14.774901960784316,1.2,55,0.0,0.0750079626287291
2026-01-06,City_01,S13,Store_13,996.6,56,58,17.79642857142857,1.0357142857142858,32,0.0,0.173289183222958
2026-01-06,City_02,S01,Store_01,666.6,36,36,18.516666666666666,1.0,20,0.0,0.1243624362436243
2026-01-06,City_02,S02,Store_02,1508.4,91,102,16.575824175824177,1.120879120879121,36,0.0,0.0
2026-01-06,City_02,S03,Store_03,2189.7000000000003,112,124,19.55089285714286,1.1071428571428572,42,0.0,0.0340229255149107
